Дата,Новые комментарии,Поделились,"Процент отметок ""Нравится"" (%)","Отметки ""Не нравится""","Отметки ""Нравится""",Отказались от подписки,Новые подписчики,Постоянные зрители,Новые зрители,Среднее число просмотров одним пользователем,Уникальные зрители,CTR для значков видео (%),Показы,Подписчики,Средний процент просмотра (%),Просмотры,Время просмотра (часы),Средняя продолжительность просмотра
2022-12-18,0.0,11.0,90.91,2.0,20.0,0.0,12.0,317.0,646.0,1.8224,963.0,8.52,11695.0,12.0,19.85,1755.0,56.0002,0.03190894586894587
2022-12-17,0.0,11.0,92.86,1.0,13.0,2.0,9.0,198.0,381.0,1.8083,579.0,6.96,8317.0,7.0,23.96,1047.0,38.487,0.036759312320916906
2022-12-16,1.0,9.0,100.0,0.0,20.0,3.0,8.0,207.0,435.0,1.8972,642.0,6.59,10022.0,5.0,22.08,1218.0,41.4866,0.03406124794745485
2022-12-15,1.0,11.0,84.21,3.0,16.0,0.0,6.0,218.0,562.0,1.6308,780.0,5.99,11512.0,6.0,20.92,1272.0,44.5558,0.03502814465408805
2022-12-14,2.0,10.0,85.0,3.0,17.0,2.0,7.0,246.0,577.0,1.8262,823.0,6.58,12589.0,5.0,21.5,1503.0,52.7593,0.035102661343978714
2022-12-13,1.0,11.0,93.75,1.0,15.0,3.0,6.0,284.0,610.0,1.7383,894.0,6.78,12909.0,3.0,22.47,1554.0,58.0107,0.03732992277992278
2022-12-12,0.0,13.0,95.45,1.0,21.0,1.0,9.0,288.0,596.0,1.845,884.0,6.31,14035.0,8.0,22.52,1631.0,60.5522,0.037125812385039855
2022-12-11,2.0,11.0,94.74,1.0,18.0,6.0,9.0,278.0,639.0,1.9051,917.0,6.67,14225.0,3.0,22.5,1747.0,67.5103,0.0386435603892387
2022-12-10,1.0,4.0,100.0,0.0,12.0,1.0,8.0,176.0,351.0,1.7438,527.0,7.3,6696.0,7.0,22.74,919.0,35.3906,0.03850990206746464
2022-12-09,0.0,1.0,77.78,2.0,7.0,2.0,5.0,137.0,332.0,1.7377,469.0,7.28,6219.0,3.0,26.44,815.0,35.2616,0.043265766871165644
2022-12-08,1.0,9.0,77.78,2.0,7.0,3.0,3.0,216.0,529.0,1.7221,745.0,6.96,10114.0,0.0,21.5,1283.0,46.5794,0.03630506625097428
2022-12-07,1.0,22.0,100.0,0.0,38.0,3.0,13.0,251.0,565.0,1.8652,816.0,6.78,12278.0,10.0,21.28,1522.0,51.5061,0.033841064388961895
2022-12-06,1.0,12.0,86.21,4.0,25.0,6.0,11.0,174.0,540.0,1.7493,714.0,7.64,8974.0,5.0,17.61,1249.0,34.4148,0.027553883106485186
2022-12-05,0.0,8.0,66.67,2.0,4.0,1.0,4.0,205.0,505.0,1.8085,710.0,6.58,10756.0,3.0,21.44,1284.0,43.4542,0.033842834890965734
2022-12-04,0.0,3.0,90.91,2.0,20.0,3.0,3.0,199.0,527.0,1.8967,726.0,6.61,12891.0,0.0,22.38,1377.0,48.5222,0.035237618010167025
2022-12-03,2.0,1.0,91.67,1.0,11.0,0.0,4.0,149.0,328.0,1.7694,477.0,6.87,6801.0,4.0,23.98,844.0,31.406,0.03721090047393365
2022-12-02,0.0,4.0,100.0,0.0,7.0,4.0,7.0,149.0,347.0,1.8871,496.0,5.89,8369.0,3.0,23.16,936.0,32.3529,0.0345650641025641
2022-12-01,0.0,7.0,100.0,0.0,16.0,3.0,6.0,213.0,480.0,2.0216,693.0,5.42,12587.0,3.0,24.11,1401.0,53.0978,0.037899928622412565
2022-11-30,0.0,15.0,96.67,1.0,29.0,0.0,5.0,271.0,460.0,2.0342,731.0,5.88,12408.0,5.0,26.31,1487.0,63.2878,0.04256072629455279
2022-11-29,4.0,4.0,96.0,1.0,24.0,2.0,7.0,221.0,475.0,1.7945,696.0,7.25,9587.0,5.0,24.84,1249.0,48.2267,0.038612249799839876
2022-11-28,0.0,14.0,88.89,2.0,16.0,2.0,4.0,237.0,502.0,1.7131,739.0,7.58,8673.0,2.0,22.37,1266.0,44.2353,0.03494099526066351
2022-11-27,0.0,9.0,94.74,1.0,18.0,0.0,4.0,219.0,539.0,1.7982,758.0,6.25,11266.0,4.0,23.0,1363.0,51.4119,0.03771966250917095
2022-11-26,0.0,8.0,88.89,1.0,8.0,3.0,9.0,140.0,284.0,1.7524,424.0,5.15,7263.0,6.0,24.2,743.0,28.18,0.03792732166890982
2022-11-25,1.0,3.0,93.75,1.0,15.0,0.0,11.0,177.0,319.0,2.2016,496.0,5.41,7763.0,11.0,28.21,1092.0,43.8496,0.040155311355311356
2022-11-24,1.0,30.0,92.31,2.0,24.0,2.0,6.0,178.0,456.0,2.0631,634.0,6.82,10438.0,4.0,26.17,1308.0,50.0464,0.03826177370030581
2022-11-23,1.0,15.0,95.0,1.0,19.0,2.0,13.0,196.0,473.0,2.1046,669.0,6.25,11462.0,11.0,23.12,1408.0,47.0448,0.033412500000000005
2022-11-22,0.0,2.0,100.0,0.0,70.0,1.0,12.0,215.0,476.0,1.9537,691.0,5.89,11572.0,11.0,25.34,1350.0,51.1429,0.03788362962962963
2022-11-21,0.0,11.0,88.89,3.0,24.0,3.0,9.0,221.0,464.0,1.9007,685.0,6.59,10537.0,6.0,26.32,1302.0,53.4319,0.04103832565284178
2022-11-20,0.0,2.0,100.0,0.0,16.0,2.0,10.0,229.0,509.0,1.9133,738.0,6.99,10086.0,8.0,25.09,1412.0,52.8261,0.03741225212464589
2022-11-19,0.0,6.0,91.67,1.0,11.0,4.0,7.0,142.0,309.0,1.8182,451.0,6.09,6998.0,3.0,24.09,820.0,30.1115,0.03672134146341463
2022-11-18,1.0,5.0,100.0,0.0,9.0,2.0,6.0,143.0,332.0,1.7916,475.0,6.18,7448.0,4.0,22.39,851.0,29.4147,0.03456486486486487
2022-11-17,1.0,71.0,92.0,2.0,23.0,1.0,5.0,187.0,454.0,2.0109,641.0,7.11,8822.0,4.0,28.16,1289.0,51.7114,0.040117455391776566
2022-11-16,1.0,5.0,100.0,0.0,13.0,1.0,9.0,233.0,465.0,1.8023,698.0,5.63,10271.0,8.0,28.19,1258.0,56.1098,0.04460238473767886
2022-11-15,0.0,7.0,94.74,1.0,18.0,2.0,8.0,224.0,523.0,1.9237,747.0,6.95,10366.0,6.0,24.71,1437.0,54.8539,0.038172512178148925
2022-11-14,0.0,9.0,100.0,0.0,27.0,3.0,11.0,211.0,511.0,1.867,722.0,6.33,11319.0,8.0,23.29,1348.0,48.4133,0.035914910979228484
2022-11-13,1.0,7.0,95.0,1.0,19.0,2.0,10.0,236.0,556.0,1.5947,792.0,6.93,9907.0,8.0,22.22,1263.0,46.1285,0.03652296120348377
2022-11-12,2.0,1.0,100.0,0.0,16.0,1.0,4.0,154.0,311.0,1.9011,465.0,6.94,6630.0,3.0,25.56,884.0,35.8305,0.04053223981900453
2022-11-11,1.0,8.0,90.0,1.0,9.0,2.0,7.0,147.0,343.0,1.7531,490.0,5.47,6601.0,5.0,26.7,859.0,35.6035,0.0414476135040745
2022-11-10,0.0,13.0,90.48,2.0,19.0,3.0,7.0,182.0,474.0,1.6372,656.0,7.31,7693.0,4.0,25.09,1074.0,43.4838,0.0404877094972067
2022-11-09,1.0,5.0,96.0,1.0,24.0,1.0,6.0,185.0,513.0,1.6433,698.0,6.59,8344.0,5.0,24.15,1147.0,46.0377,0.04013748910200523
2022-11-08,0.0,4.0,100.0,0.0,18.0,5.0,6.0,198.0,521.0,1.6287,719.0,6.96,8836.0,1.0,24.54,1171.0,47.4522,0.04052280102476516
2022-11-07,0.0,8.0,100.0,0.0,25.0,2.0,5.0,203.0,520.0,1.6224,723.0,7.46,7373.0,3.0,26.19,1173.0,49.2122,0.041954134697357204
2022-11-06,0.0,3.0,88.24,2.0,15.0,4.0,3.0,223.0,530.0,1.5352,753.0,6.5,8304.0,-1.0,21.14,1156.0,41.0076,0.03547370242214533
2022-11-05,0.0,4.0,92.31,1.0,12.0,3.0,4.0,155.0,366.0,1.666,521.0,7.54,5784.0,1.0,22.27,868.0,31.0542,0.03577672811059908
2022-11-04,0.0,11.0,92.86,1.0,13.0,5.0,8.0,149.0,366.0,1.6738,515.0,6.35,7271.0,3.0,24.31,862.0,32.8614,0.038122273781902555
2022-11-03,1.0,9.0,100.0,0.0,12.0,3.0,4.0,103.0,272.0,1.5573,375.0,6.33,4106.0,1.0,24.72,584.0,23.0605,0.03948715753424658
2022-11-02,2.0,5.0,87.5,2.0,14.0,2.0,8.0,191.0,445.0,1.863,635.0,6.29,8460.0,6.0,26.74,1183.0,49.9512,0.04222417582417583
2022-11-01,1.0,8.0,94.74,1.0,18.0,2.0,7.0,213.0,471.0,1.8392,684.0,5.7,11418.0,5.0,25.02,1258.0,49.9691,0.03972106518282989
2022-10-31,2.0,4.0,100.0,0.0,18.0,3.0,8.0,201.0,521.0,1.6551,722.0,6.75,8774.0,5.0,23.43,1195.0,46.0657,0.03854870292887029
2022-10-30,2.0,6.0,77.78,4.0,14.0,2.0,6.0,192.0,539.0,1.7825,731.0,6.54,10018.0,4.0,22.32,1303.0,46.8729,0.03597306216423638
2022-10-29,0.0,2.0,100.0,0.0,11.0,8.0,4.0,124.0,319.0,1.8465,443.0,5.36,8084.0,-4.0,24.49,818.0,30.8953,0.03776931540342298
2022-10-28,0.0,5.0,91.3,2.0,21.0,2.0,10.0,155.0,375.0,1.934,530.0,5.49,9032.0,8.0,25.87,1025.0,41.3191,0.04031131707317073
2022-10-27,2.0,8.0,89.47,2.0,17.0,0.0,5.0,187.0,482.0,1.6607,669.0,6.26,9135.0,5.0,23.95,1111.0,42.0427,0.037842214221422144
2022-10-26,0.0,13.0,94.74,1.0,18.0,2.0,10.0,232.0,506.0,1.7236,738.0,6.72,9460.0,8.0,23.99,1272.0,48.6485,0.03824567610062893
2022-10-25,0.0,15.0,90.32,3.0,28.0,2.0,7.0,250.0,550.0,1.7163,800.0,5.4,13477.0,5.0,23.84,1373.0,52.438,0.03819227967953387
2022-10-24,2.0,10.0,95.83,1.0,23.0,2.0,6.0,221.0,558.0,1.932,779.0,5.97,12327.0,4.0,25.45,1505.0,58.3333,0.03875966777408638
2022-10-23,0.0,7.0,64.29,5.0,9.0,2.0,5.0,211.0,590.0,1.824,801.0,6.29,12328.0,3.0,24.55,1461.0,56.7718,0.038858179329226555
2022-10-22,1.0,8.0,94.74,1.0,18.0,3.0,6.0,144.0,328.0,1.8051,472.0,6.52,6088.0,3.0,24.83,852.0,33.4202,0.03922558685446009
2022-10-21,0.0,9.0,100.0,0.0,9.0,2.0,7.0,139.0,357.0,1.6129,496.0,7.08,5407.0,5.0,21.92,800.0,27.3233,0.034154125
2022-10-20,0.0,6.0,94.74,1.0,18.0,2.0,6.0,234.0,527.0,1.8095,761.0,5.84,11344.0,4.0,24.59,1377.0,52.8695,0.038394698620188815
2022-10-19,0.0,18.0,90.0,2.0,18.0,3.0,8.0,239.0,596.0,2.1916,835.0,5.21,15753.0,5.0,27.91,1830.0,73.7678,0.040310273224043715
2022-10-18,1.0,8.0,100.0,0.0,32.0,3.0,12.0,206.0,567.0,1.9185,773.0,5.09,13356.0,9.0,28.32,1483.0,61.783,0.04166082265677681
2022-10-17,1.0,11.0,96.15,1.0,25.0,3.0,8.0,209.0,605.0,1.645,814.0,7.49,8882.0,5.0,24.22,1339.0,50.0952,0.03741239731142643
2022-10-16,1.0,4.0,94.44,1.0,17.0,1.0,6.0,208.0,609.0,1.7087,817.0,7.01,9784.0,5.0,26.2,1396.0,54.4198,0.038982664756446996
2022-10-15,0.0,4.0,100.0,0.0,10.0,2.0,5.0,136.0,292.0,1.8902,428.0,5.5,7128.0,3.0,25.77,809.0,29.8835,0.03693881334981459
2022-10-14,0.0,7.0,100.0,0.0,17.0,1.0,7.0,121.0,348.0,1.6866,469.0,6.6,6049.0,6.0,26.81,791.0,33.3468,0.04215777496839444
